Dataset,Side,Model,round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
Dataset_1,Left,PointNet,944,19,44,5,6,0.8514,0.76,0.898,0.7755,0.88
Dataset_1,Left,PointNet,945,23,41,5,5,0.8649,0.8214,0.8913,0.8214,0.8602
Dataset_1,Left,PointNet,946,13,50,7,4,0.8514,0.7647,0.8772,0.7027,0.8545
Dataset_1,Left,PointNet,947,15,51,3,5,0.8919,0.75,0.9444,0.7895,0.8343
Dataset_1,Left,PointNet,948,20,40,8,6,0.8108,0.7692,0.8333,0.7407,0.8429
Dataset_1,Left,PointNet,949,16,45,7,6,0.8243,0.7273,0.8654,0.7111,0.889
Dataset_1,Left,PointNet,950,14,47,6,7,0.8243,0.6667,0.8868,0.6829,0.7772
Dataset_1,Left,PointNet,951,12,46,10,6,0.7838,0.6667,0.8214,0.6,0.7569
Dataset_1,Left,PointNet,952,29,35,8,2,0.8649,0.9355,0.814,0.8529,0.9032
Dataset_1,Left,PointNet,953,11,45,11,7,0.7568,0.6111,0.8036,0.55,0.7391
Dataset_1,Left,PointNet,954,15,42,10,7,0.7703,0.6818,0.8077,0.6383,0.7928
Dataset_1,Left,PointNet,955,21,45,6,2,0.8919,0.913,0.8824,0.84,0.9096
Dataset_1,Left,PointNet,956,21,45,5,3,0.8919,0.875,0.9,0.84,0.9075
Dataset_1,Left,PointNet,957,15,41,8,10,0.7568,0.6,0.8367,0.625,0.6882
Dataset_1,Left,PointNet,958,24,40,5,5,0.8649,0.8276,0.8889,0.8276,0.9218
Dataset_1,Left,PointNet,959,18,40,9,7,0.7838,0.72,0.8163,0.6923,0.76
Dataset_1,Left,PointNet,960,20,44,7,3,0.8649,0.8696,0.8627,0.8,0.9011
Dataset_1,Left,PointNet,961,13,50,7,4,0.8514,0.7647,0.8772,0.7027,0.8638
Dataset_1,Left,PointNet,962,24,43,4,3,0.9054,0.8889,0.9149,0.8727,0.9157
Dataset_1,Left,PointNet,963,17,47,5,5,0.8649,0.7727,0.9038,0.7727,0.868
