round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
371,18,36,11,9,0.7297,0.6667,0.766,0.6429,0.8692
372,14,35,13,12,0.6622,0.5385,0.7292,0.5283,0.7356
373,9,33,21,11,0.5676,0.45,0.6111,0.36,0.6009
374,19,29,15,11,0.6486,0.6333,0.6591,0.5938,0.7136
375,17,34,16,7,0.6892,0.7083,0.68,0.5965,0.8342
376,14,32,15,13,0.6216,0.5185,0.6809,0.5,0.6753
377,13,38,17,6,0.6892,0.6842,0.6909,0.5306,0.778
378,17,31,16,10,0.6486,0.6296,0.6596,0.5667,0.7329
379,15,35,16,8,0.6757,0.6522,0.6863,0.5556,0.7656
380,18,40,9,7,0.7838,0.72,0.8163,0.6923,0.8645
381,17,32,13,12,0.6622,0.5862,0.7111,0.5763,0.7027
382,14,30,21,9,0.5946,0.6087,0.5882,0.4828,0.7059
383,15,31,15,13,0.6216,0.5357,0.6739,0.5172,0.7523
384,13,40,14,7,0.7162,0.65,0.7407,0.5532,0.7657
385,15,31,17,11,0.6216,0.5769,0.6458,0.5172,0.7348
386,13,35,18,8,0.6486,0.619,0.6604,0.5,0.7385
387,25,30,14,5,0.7432,0.8333,0.6818,0.7246,0.8371
388,16,39,10,9,0.7432,0.64,0.7959,0.6275,0.8751
389,19,36,10,9,0.7432,0.6786,0.7826,0.6667,0.7981
390,15,29,17,13,0.5946,0.5357,0.6304,0.5,0.6514
391,21,35,11,7,0.7568,0.75,0.7609,0.7,0.8175
392,24,30,13,7,0.7297,0.7742,0.6977,0.7059,0.7622
393,15,37,18,4,0.7027,0.7895,0.6727,0.5769,0.8842
394,18,30,17,9,0.6486,0.6667,0.6383,0.5806,0.7707
395,23,28,11,12,0.6892,0.6571,0.7179,0.6667,0.7788
396,19,34,11,10,0.7162,0.6552,0.7556,0.6441,0.813
397,13,36,16,9,0.6622,0.5909,0.6923,0.5098,0.6818
398,17,30,19,8,0.6351,0.68,0.6122,0.5574,0.7502
399,15,33,14,12,0.6486,0.5556,0.7021,0.5357,0.7392
400,24,30,13,7,0.7297,0.7742,0.6977,0.7059,0.8207
401,18,35,8,13,0.7162,0.5806,0.814,0.6316,0.7997
402,13,39,13,9,0.7027,0.5909,0.75,0.5417,0.8217
403,14,35,16,9,0.6622,0.6087,0.6863,0.5283,0.7229
404,12,41,14,7,0.7162,0.6316,0.7455,0.5333,0.799
405,22,26,13,13,0.6486,0.6286,0.6667,0.6286,0.7524
406,21,28,16,9,0.6622,0.7,0.6364,0.6269,0.7303
407,17,34,11,12,0.6892,0.5862,0.7556,0.5965,0.718
408,19,35,12,8,0.7297,0.7037,0.7447,0.6552,0.8117
409,13,33,16,12,0.6216,0.52,0.6735,0.4815,0.7445
410,18,33,15,8,0.6892,0.6923,0.6875,0.6102,0.7572
411,16,34,12,12,0.6757,0.5714,0.7391,0.5714,0.7702
412,16,42,7,9,0.7838,0.64,0.8571,0.6667,0.8302
413,15,29,19,11,0.5946,0.5769,0.6042,0.5,0.6587
414,18,31,16,9,0.6622,0.6667,0.6596,0.5902,0.8416
415,19,34,11,10,0.7162,0.6552,0.7556,0.6441,0.8092
416,17,38,15,4,0.7432,0.8095,0.717,0.6415,0.85
417,29,24,12,9,0.7162,0.7632,0.6667,0.7342,0.7997
418,23,35,10,6,0.7838,0.7931,0.7778,0.7419,0.8805
419,10,41,12,11,0.6892,0.4762,0.7736,0.4651,0.7179
420,16,34,14,10,0.6757,0.6154,0.7083,0.5714,0.7468
421,21,33,7,13,0.7297,0.6176,0.825,0.6774,0.7934
422,17,40,9,8,0.7703,0.68,0.8163,0.6667,0.8653
423,17,39,11,7,0.7568,0.7083,0.78,0.6538,0.8908
424,14,37,14,9,0.6892,0.6087,0.7255,0.549,0.7758
425,21,34,14,5,0.7432,0.8077,0.7083,0.6885,0.8357
426,19,33,13,9,0.7027,0.6786,0.7174,0.6333,0.8292
427,18,34,11,11,0.7027,0.6207,0.7556,0.6207,0.846
428,12,35,12,15,0.6351,0.4444,0.7447,0.4706,0.7108
429,18,32,18,6,0.6757,0.75,0.64,0.6,0.805
430,21,29,16,8,0.6757,0.7241,0.6444,0.6364,0.7418
431,19,35,8,12,0.7297,0.6129,0.814,0.6552,0.7524
432,12,47,11,4,0.7973,0.75,0.8103,0.6154,0.8319
433,25,25,9,15,0.6757,0.625,0.7353,0.6757,0.7529
434,15,43,8,8,0.7838,0.6522,0.8431,0.6522,0.8593
435,19,32,13,10,0.6892,0.6552,0.7111,0.623,0.7686
436,12,39,13,10,0.6892,0.5455,0.75,0.5106,0.7692
437,14,41,14,5,0.7432,0.7368,0.7455,0.5957,0.8287
438,13,32,14,15,0.6081,0.4643,0.6957,0.4727,0.6856
439,16,31,17,10,0.6351,0.6154,0.6458,0.5424,0.7708
440,20,29,16,9,0.6622,0.6897,0.6444,0.6154,0.7287
441,21,30,14,9,0.6892,0.7,0.6818,0.6462,0.7621
442,13,48,5,8,0.8243,0.619,0.9057,0.6667,0.7916
443,10,36,20,8,0.6216,0.5556,0.6429,0.4167,0.7312
444,13,35,21,5,0.6486,0.7222,0.625,0.5,0.7361
445,13,30,19,12,0.5811,0.52,0.6122,0.4561,0.6678
446,15,39,11,9,0.7297,0.625,0.78,0.6,0.8033
447,19,33,14,8,0.7027,0.7037,0.7021,0.6333,0.8243
448,16,34,18,6,0.6757,0.7273,0.6538,0.5714,0.7491
449,14,26,21,13,0.5405,0.5185,0.5532,0.4516,0.5831
450,22,32,11,9,0.7297,0.7097,0.7442,0.6875,0.7997
451,12,40,10,12,0.7027,0.5,0.8,0.5217,0.7858
452,20,39,11,4,0.7973,0.8333,0.78,0.7273,0.8708
453,16,32,14,12,0.6486,0.5714,0.6957,0.5517,0.7453
454,9,42,14,9,0.6892,0.5,0.75,0.439,0.7431
455,15,34,19,6,0.6622,0.7143,0.6415,0.5455,0.8149
456,22,30,12,10,0.7027,0.6875,0.7143,0.6667,0.8542
457,12,32,21,9,0.5946,0.5714,0.6038,0.4444,0.681
458,16,33,11,14,0.6622,0.5333,0.75,0.5614,0.7159
459,18,33,11,12,0.6892,0.6,0.75,0.6102,0.7818
460,15,35,12,12,0.6757,0.5556,0.7447,0.5556,0.7762
461,16,28,23,7,0.5946,0.6957,0.549,0.5161,0.7084
462,24,32,11,7,0.7568,0.7742,0.7442,0.7273,0.8702
463,15,38,11,10,0.7162,0.6,0.7755,0.5882,0.7698
464,23,26,13,12,0.6622,0.6571,0.6667,0.6479,0.7575
