Dataset,Side,Model,Class,Accuracy,Precision,Recall,F1_Score,Mean_SD,Support,ROC_AUC
Ds004469,Left,ResNet (Standard),Class 0: Healthy Control,54.55%,66.67%,75.00%,70.59%,55.34% ± 15.16%,8,0.3750
Ds004469,Left,ResNet (Standard),Class 1: Epilepsy (TLE),54.55%,0.00%,0.00%,0.00%,55.34% ± 15.16%,3,0.3750
Ds004469,Left,ResNet (Standard),Overall / Macro Avg,54.55%,33.34%,37.50%,35.29%,55.34% ± 15.16%,11,0.3750
Ds004469,Left,ResNet (AutoEncoder),Class 0: Healthy Control,54.55%,66.67%,75.00%,70.59%,54.11% ± 15.49%,8,0.5417
Ds004469,Left,ResNet (AutoEncoder),Class 1: Epilepsy (TLE),54.55%,0.00%,0.00%,0.00%,54.11% ± 15.49%,3,0.5417
Ds004469,Left,ResNet (AutoEncoder),Overall / Macro Avg,54.55%,33.34%,37.50%,35.29%,54.11% ± 15.49%,11,0.5417
Ds004469,Left,MobileNet,Class 0: Healthy Control,54.55%,66.67%,75.00%,70.59%,54.94% ± 15.04%,8,0.4167
Ds004469,Left,MobileNet,Class 1: Epilepsy (TLE),54.55%,0.00%,0.00%,0.00%,54.94% ± 15.04%,3,0.4167
Ds004469,Left,MobileNet,Overall / Macro Avg,54.55%,33.34%,37.50%,35.29%,54.94% ± 15.04%,11,0.4167
Ds004469,Left,SqueezeNet,Class 0: Healthy Control,54.55%,71.43%,62.50%,66.67%,53.63% ± 14.91%,8,0.5833
Ds004469,Left,SqueezeNet,Class 1: Epilepsy (TLE),54.55%,25.00%,33.33%,28.57%,53.63% ± 14.91%,3,0.5833
Ds004469,Left,SqueezeNet,Overall / Macro Avg,54.55%,48.22%,47.91%,47.62%,53.63% ± 14.91%,11,0.5833
Ds004469,Left,PointNet,Class 0: Healthy Control,54.55%,66.67%,75.00%,70.59%,54.74% ± 15.34%,8,0.3333
Ds004469,Left,PointNet,Class 1: Epilepsy (TLE),54.55%,0.00%,0.00%,0.00%,54.74% ± 15.34%,3,0.3333
Ds004469,Left,PointNet,Overall / Macro Avg,54.55%,33.34%,37.50%,35.29%,54.74% ± 15.34%,11,0.3333
Ds004469,Right,SVM,Class 0: Healthy Control,81.82%,90.00%,90.00%,90.00%,81.75% ± 12.09%,10,0.0000
Ds004469,Right,SVM,Class 1: Epilepsy (TLE),81.82%,0.00%,0.00%,0.00%,81.75% ± 12.09%,1,0.0000
Ds004469,Right,SVM,Overall / Macro Avg,81.82%,45.00%,45.00%,45.00%,81.75% ± 12.09%,11,0.0000
Ds004469,Right,MLP,Class 0: Healthy Control,90.91%,90.91%,100.00%,95.24%,91.51% ± 8.56%,10,0.0000
Ds004469,Right,MLP,Class 1: Epilepsy (TLE),90.91%,0.00%,0.00%,0.00%,91.51% ± 8.56%,1,0.0000
Ds004469,Right,MLP,Overall / Macro Avg,90.91%,45.45%,50.00%,47.62%,91.51% ± 8.56%,11,0.0000
Ds004469,Right,ResNet (Standard),Class 0: Healthy Control,72.73%,88.89%,80.00%,84.21%,72.65% ± 13.24%,10,0.1000
Ds004469,Right,ResNet (Standard),Class 1: Epilepsy (TLE),72.73%,0.00%,0.00%,0.00%,72.65% ± 13.24%,1,0.1000
Ds004469,Right,ResNet (Standard),Overall / Macro Avg,72.73%,44.45%,40.00%,42.11%,72.65% ± 13.24%,11,0.1000
