round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
236,12,38,14,10,0.6757,0.5455,0.7308,0.5,0.7159
237,23,42,6,3,0.8784,0.8846,0.875,0.8364,0.9319
238,20,41,7,6,0.8243,0.7692,0.8542,0.7547,0.8646
239,19,39,7,9,0.7838,0.6786,0.8478,0.7037,0.8509
240,17,48,4,5,0.8784,0.7727,0.9231,0.7907,0.9038
241,13,44,8,9,0.7703,0.5909,0.8462,0.6047,0.7579
242,14,43,15,2,0.7703,0.875,0.7414,0.6222,0.8987
243,15,44,8,7,0.7973,0.6818,0.8462,0.6667,0.8182
244,13,44,13,4,0.7703,0.7647,0.7719,0.6047,0.8308
245,25,37,5,7,0.8378,0.7812,0.881,0.8065,0.8445
246,21,42,6,5,0.8514,0.8077,0.875,0.7925,0.8942
247,18,42,9,5,0.8108,0.7826,0.8235,0.72,0.8934
248,27,35,9,3,0.8378,0.9,0.7955,0.8182,0.8864
249,17,49,6,2,0.8919,0.8947,0.8909,0.8095,0.9541
250,14,35,16,9,0.6622,0.6087,0.6863,0.5283,0.792
251,17,42,7,8,0.7973,0.68,0.8571,0.6939,0.7812
252,17,42,8,7,0.7973,0.7083,0.84,0.6939,0.8058
253,22,36,7,9,0.7838,0.7097,0.8372,0.7333,0.8695
254,23,36,6,9,0.7973,0.7188,0.8571,0.7541,0.8237
255,23,37,6,8,0.8108,0.7419,0.8605,0.7667,0.8507
256,24,43,6,1,0.9054,0.96,0.8776,0.8727,0.9461
257,12,43,14,5,0.7432,0.7059,0.7544,0.5581,0.8483
258,20,39,11,4,0.7973,0.8333,0.78,0.7273,0.8908
259,16,43,8,7,0.7973,0.6957,0.8431,0.6809,0.8841
260,15,43,9,7,0.7838,0.6818,0.8269,0.6522,0.8269
261,21,45,4,4,0.8919,0.84,0.9184,0.84,0.8841
262,26,34,10,4,0.8108,0.8667,0.7727,0.7879,0.8682
263,22,35,11,6,0.7703,0.7857,0.7609,0.7213,0.8307
264,18,44,8,4,0.8378,0.8182,0.8462,0.75,0.868
265,23,43,6,2,0.8919,0.92,0.8776,0.8519,0.9127
266,18,38,8,10,0.7568,0.6429,0.8261,0.6667,0.8408
267,27,40,4,3,0.9054,0.9,0.9091,0.8852,0.9205
268,27,40,3,4,0.9054,0.871,0.9302,0.8852,0.919
269,17,45,6,6,0.8378,0.7391,0.8824,0.7391,0.8713
270,24,38,7,5,0.8378,0.8276,0.8444,0.8,0.8866
271,16,47,6,5,0.8514,0.7619,0.8868,0.7442,0.8841
272,16,45,4,9,0.8243,0.64,0.9184,0.7111,0.8408
273,20,34,13,7,0.7297,0.7407,0.7234,0.6667,0.7912
274,19,41,10,4,0.8108,0.8261,0.8039,0.7308,0.8099
275,16,45,7,6,0.8243,0.7273,0.8654,0.7111,0.8497
276,23,36,8,7,0.7973,0.7667,0.8182,0.7541,0.8583
277,20,36,12,6,0.7568,0.7692,0.75,0.6897,0.8213
278,16,40,8,10,0.7568,0.6154,0.8333,0.64,0.7748
279,23,37,12,2,0.8108,0.92,0.7551,0.7667,0.8955
280,19,41,6,8,0.8108,0.7037,0.8723,0.7308,0.8495
281,18,42,10,4,0.8108,0.8182,0.8077,0.72,0.8636
282,21,38,12,3,0.7973,0.875,0.76,0.7368,0.8775
283,19,39,8,8,0.7838,0.7037,0.8298,0.7037,0.7928
284,20,42,7,5,0.8378,0.8,0.8571,0.7692,0.9029
285,20,41,9,4,0.8243,0.8333,0.82,0.7547,0.8733
286,23,37,9,5,0.8108,0.8214,0.8043,0.7667,0.861
287,23,39,5,7,0.8378,0.7667,0.8864,0.7931,0.9091
288,21,36,12,5,0.7703,0.8077,0.75,0.7119,0.8405
289,13,51,6,4,0.8649,0.7647,0.8947,0.7222,0.8277
290,28,36,9,1,0.8649,0.9655,0.8,0.8485,0.9563
291,25,45,4,0,0.9459,1.0,0.9184,0.9259,0.9967
292,21,40,8,5,0.8243,0.8077,0.8333,0.7636,0.8758
293,26,31,6,11,0.7703,0.7027,0.8378,0.7536,0.8225
294,23,36,5,10,0.7973,0.697,0.878,0.7541,0.8396
295,25,38,10,1,0.8514,0.9615,0.7917,0.8197,0.9287
296,19,44,9,2,0.8514,0.9048,0.8302,0.7755,0.9102
297,26,36,8,4,0.8378,0.8667,0.8182,0.8125,0.8848
298,28,34,5,7,0.8378,0.8,0.8718,0.8235,0.8945
299,19,38,10,7,0.7703,0.7308,0.7917,0.6909,0.8622
300,13,50,6,5,0.8514,0.7222,0.8929,0.7027,0.9107
301,22,29,12,11,0.6892,0.6667,0.7073,0.6567,0.7354
302,16,37,12,9,0.7162,0.64,0.7551,0.6038,0.7078
303,32,30,8,4,0.8378,0.8889,0.7895,0.8421,0.8655
304,19,40,10,5,0.7973,0.7917,0.8,0.717,0.8683
305,17,35,16,6,0.7027,0.7391,0.6863,0.6071,0.7357
306,20,38,10,6,0.7838,0.7692,0.7917,0.7143,0.8662
307,27,35,7,5,0.8378,0.8438,0.8333,0.8182,0.8839
308,20,35,7,12,0.7432,0.625,0.8333,0.678,0.814
309,19,39,6,10,0.7838,0.6552,0.8667,0.7037,0.7716
310,23,42,6,3,0.8784,0.8846,0.875,0.8364,0.8718
