Metric,Dataset,Side,Model_A,Model_B,Mean_Value_A,Mean_Value_B,P-Value,Significant
Accuracy,Ds004469,right,MLP,MobileNet,0.9122,0.822,4.118178970851786e-154,Yes (p<0.01)
Accuracy,Ds004469,right,MLP,PointNet,0.9122,0.9122,1.0,No
Accuracy,Ds004469,right,MLP,ResNet+AE,0.9122,0.822,4.118178970851786e-154,Yes (p<0.01)
Accuracy,Ds004469,right,MLP,ResNet,0.9122,0.7371,3.8650276777270904e-260,Yes (p<0.01)
Accuracy,Ds004469,right,MLP,SqueezeNet,0.9122,0.822,4.118178970851786e-154,Yes (p<0.01)
Accuracy,Ds004469,right,MLP,SVM,0.9122,0.822,4.118178970851786e-154,Yes (p<0.01)
Accuracy,Ds004469,right,MobileNet,PointNet,0.822,0.9122,4.118178970851786e-154,Yes (p<0.01)
Accuracy,Ds004469,right,MobileNet,ResNet+AE,0.822,0.822,1.0,No
Accuracy,Ds004469,right,MobileNet,ResNet,0.822,0.7371,2.5488758916395646e-158,Yes (p<0.01)
Accuracy,Ds004469,right,MobileNet,SqueezeNet,0.822,0.822,1.0,No
Accuracy,Ds004469,right,MobileNet,SVM,0.822,0.822,1.0,No
Accuracy,Ds004469,right,PointNet,ResNet+AE,0.9122,0.822,4.118178970851786e-154,Yes (p<0.01)
Accuracy,Ds004469,right,PointNet,ResNet,0.9122,0.7371,3.8650276777270904e-260,Yes (p<0.01)
Accuracy,Ds004469,right,PointNet,SqueezeNet,0.9122,0.822,4.118178970851786e-154,Yes (p<0.01)
Accuracy,Ds004469,right,PointNet,SVM,0.9122,0.822,4.118178970851786e-154,Yes (p<0.01)
Accuracy,Ds004469,right,ResNet+AE,ResNet,0.822,0.7371,2.5488758916395646e-158,Yes (p<0.01)
Accuracy,Ds004469,right,ResNet+AE,SqueezeNet,0.822,0.822,1.0,No
Accuracy,Ds004469,right,ResNet+AE,SVM,0.822,0.822,1.0,No
Accuracy,Ds004469,right,ResNet,SqueezeNet,0.7371,0.822,2.5488758916395646e-158,Yes (p<0.01)
Accuracy,Ds004469,right,ResNet,SVM,0.7371,0.822,2.5488758916395646e-158,Yes (p<0.01)
