Metric,Dataset,Side,Model_A,Model_B,Mean_Value_A,Mean_Value_B,P-Value,Significant
F1_Class1,All_Augment_tain,left,MobileNet,ResNet+AE,0.6959,0.673,9.09749242244522e-67,Yes (p<0.01)
F1_Class1,All_Augment_tain,left,MobileNet,ResNet,0.6959,0.7521,8.937172205151625e-297,Yes (p<0.01)
F1_Class1,All_Augment_tain,left,MobileNet,SVM,0.6959,0.6927,0.0075488601602969,Yes (p<0.01)
F1_Class1,All_Augment_tain,left,ResNet+AE,ResNet,0.673,0.7521,0.0,Yes (p<0.01)
F1_Class1,All_Augment_tain,left,ResNet+AE,SVM,0.673,0.6927,4.9985634804260834e-169,Yes (p<0.01)
F1_Class1,All_Augment_tain,left,ResNet,SVM,0.7521,0.6927,0.0,Yes (p<0.01)
F1_Class1,All_Augment_tain,right,MLP,MobileNet,0.7433,0.7898,4.5251436697078885e-157,Yes (p<0.01)
F1_Class1,All_Augment_tain,right,MLP,ResNet+AE,0.7433,0.7035,3.2937820385310898e-93,Yes (p<0.01)
F1_Class1,All_Augment_tain,right,MLP,ResNet,0.7433,0.7047,1.046005196379385e-105,Yes (p<0.01)
F1_Class1,All_Augment_tain,right,MLP,SVM,0.7433,0.6763,6.087569923040907e-188,Yes (p<0.01)
F1_Class1,All_Augment_tain,right,MobileNet,ResNet+AE,0.7898,0.7035,2.6380593883491e-310,Yes (p<0.01)
F1_Class1,All_Augment_tain,right,MobileNet,ResNet,0.7898,0.7047,2.0685483986849753e-293,Yes (p<0.01)
F1_Class1,All_Augment_tain,right,MobileNet,SVM,0.7898,0.6763,0.0,Yes (p<0.01)
F1_Class1,All_Augment_tain,right,ResNet+AE,ResNet,0.7035,0.7047,0.379066878180811,No
F1_Class1,All_Augment_tain,right,ResNet+AE,SVM,0.7035,0.6763,1.62269614389976e-228,Yes (p<0.01)
F1_Class1,All_Augment_tain,right,ResNet,SVM,0.7047,0.6763,1.7526656401354754e-91,Yes (p<0.01)
F1_Class1,Ds005602,left,MLP,MobileNet,0.7215,0.6637,2.231052367162948e-227,Yes (p<0.01)
F1_Class1,Ds005602,left,MLP,ResNet+AE,0.7215,0.6551,9.350742029641964e-236,Yes (p<0.01)
F1_Class1,Ds005602,left,MLP,ResNet,0.7215,0.7082,6.99218754893331e-18,Yes (p<0.01)
F1_Class1,Ds005602,left,MLP,SVM,0.7215,0.687,3.622286221793056e-92,Yes (p<0.01)
F1_Class1,Ds005602,left,MobileNet,ResNet+AE,0.6637,0.6551,3.223136926500139e-19,Yes (p<0.01)
F1_Class1,Ds005602,left,MobileNet,ResNet,0.6637,0.7082,2.264885788179115e-246,Yes (p<0.01)
F1_Class1,Ds005602,left,MobileNet,SVM,0.6637,0.687,8.571364571162535e-89,Yes (p<0.01)
F1_Class1,Ds005602,left,ResNet+AE,ResNet,0.6551,0.7082,1.1168888288284456e-241,Yes (p<0.01)
F1_Class1,Ds005602,left,ResNet+AE,SVM,0.6551,0.687,6.38715975605132e-296,Yes (p<0.01)
F1_Class1,Ds005602,left,ResNet,SVM,0.7082,0.687,5.772783056356038e-62,Yes (p<0.01)
F1_Class1,Ds005602,right,MLP,MobileNet,0.8595,0.8187,2.1557010878621834e-228,Yes (p<0.01)
F1_Class1,Ds005602,right,MLP,ResNet+AE,0.8595,0.8264,4.0059225421476175e-235,Yes (p<0.01)
F1_Class1,Ds005602,right,MLP,ResNet,0.8595,0.8023,1.0287350819529754e-287,Yes (p<0.01)
F1_Class1,Ds005602,right,MLP,SVM,0.8595,0.8429,9.854898609845108e-149,Yes (p<0.01)
F1_Class1,Ds005602,right,MobileNet,ResNet+AE,0.8187,0.8264,2.448974741236527e-16,Yes (p<0.01)
F1_Class1,Ds005602,right,MobileNet,ResNet,0.8187,0.8023,2.334131455910944e-152,Yes (p<0.01)
