round,TP_0,TN_0,FP_0,FN_0,Accuracy_0,Sensitivity_0,Specificity_0,F1_0,AUC_0,TP_1,TN_1,FP_1,FN_1,Accuracy_1,Sensitivity_1,Specificity_1,F1_1,AUC_1,TP_2,TN_2,FP_2,FN_2,Accuracy_2,Sensitivity_2,Specificity_2,F1_2,AUC_2,TP_3,TN_3,FP_3,FN_3,Accuracy_3,Sensitivity_3,Specificity_3,F1_3,AUC_3,TP_4,TN_4,FP_4,FN_4,Accuracy_4,Sensitivity_4,Specificity_4,F1_4,AUC_4,TP_5,TN_5,FP_5,FN_5,Accuracy_5,Sensitivity_5,Specificity_5,F1_5,AUC_5,TP_6,TN_6,FP_6,FN_6,Accuracy_6,Sensitivity_6,Specificity_6,F1_6,AUC_6,TP_7,TN_7,FP_7,FN_7,Accuracy_7,Sensitivity_7,Specificity_7,F1_7,AUC_7,TP_8,TN_8,FP_8,FN_8,Accuracy_8,Sensitivity_8,Specificity_8,F1_8,AUC_8,TP_9,TN_9,FP_9,FN_9,Accuracy_9,Sensitivity_9,Specificity_9,F1_9,AUC_9,TP_10,TN_10,FP_10,FN_10,Accuracy_10,Sensitivity_10,Specificity_10,F1_10,AUC_10,TP_11,TN_11,FP_11,FN_11,Accuracy_11,Sensitivity_11,Specificity_11,F1_11,AUC_11
426,14,36,17,7,0.6757,0.6667,0.6792,0.5385,0.7781,14,36,17,7,0.6757,0.6667,0.6792,0.5385,0.7547,15,32,21,6,0.6351,0.7143,0.6038,0.5263,0.7772,15,36,17,6,0.6892,0.7143,0.6792,0.566,0.7763,19,38,15,2,0.7703,0.9048,0.717,0.6909,0.8338,16,35,18,5,0.6892,0.7619,0.6604,0.5818,0.7808,11,50,13,1,0.8133,0.9167,0.7937,0.6111,0.9167,10,56,7,2,0.88,0.8333,0.8889,0.6897,0.8995,12,59,4,0,0.9467,1.0,0.9365,0.8571,0.9643,10,50,13,2,0.8,0.8333,0.7937,0.5714,0.9325,10,56,7,2,0.88,0.8333,0.8889,0.6897,0.9094,12,45,18,0,0.76,1.0,0.7143,0.5714,0.9074
427,11,33,21,9,0.5946,0.55,0.6111,0.4231,0.6639,14,36,18,6,0.6757,0.7,0.6667,0.5385,0.6972,14,35,19,6,0.6622,0.7,0.6481,0.5283,0.7324,14,36,18,6,0.6757,0.7,0.6667,0.5385,0.6843,17,40,14,3,0.7703,0.85,0.7407,0.6667,0.8509,15,34,20,5,0.6622,0.75,0.6296,0.5455,0.6963,17,40,11,7,0.76,0.7083,0.7843,0.6538,0.875,17,46,5,7,0.84,0.7083,0.902,0.7391,0.8652,18,46,5,6,0.8533,0.75,0.902,0.766,0.9109,14,45,6,10,0.7867,0.5833,0.8824,0.6364,0.9069,18,43,8,6,0.8133,0.75,0.8431,0.72,0.9109,16,41,10,8,0.76,0.6667,0.8039,0.64,0.866
428,13,38,15,8,0.6892,0.619,0.717,0.5306,0.743,11,39,14,10,0.6757,0.5238,0.7358,0.4783,0.7134,12,37,16,9,0.6622,0.5714,0.6981,0.4898,0.6792,11,39,14,10,0.6757,0.5238,0.7358,0.4783,0.7098,13,42,11,8,0.7432,0.619,0.7925,0.5778,0.7969,15,38,15,6,0.7162,0.7143,0.717,0.5882,0.7314,16,49,9,1,0.8667,0.9412,0.8448,0.7619,0.9351,16,52,6,1,0.9067,0.9412,0.8966,0.8205,0.9574,17,55,3,0,0.96,1.0,0.9483,0.9189,0.9706,16,50,8,1,0.88,0.9412,0.8621,0.7805,0.9574,16,53,5,1,0.92,0.9412,0.9138,0.8421,0.9594,14,49,9,3,0.84,0.8235,0.8448,0.7,0.9351
429,18,32,11,13,0.6757,0.5806,0.7442,0.6,0.7607,18,31,12,13,0.6622,0.5806,0.7209,0.5902,0.7524,20,29,14,11,0.6622,0.6452,0.6744,0.6154,0.7569,20,31,12,11,0.6892,0.6452,0.7209,0.6349,0.7622,25,33,10,6,0.7838,0.8065,0.7674,0.7576,0.8845,23,31,12,8,0.7297,0.7419,0.7209,0.697,0.7614,11,37,17,10,0.64,0.5238,0.6852,0.449,0.6746,12,39,15,9,0.68,0.5714,0.7222,0.5,0.7037,12,43,11,9,0.7333,0.5714,0.7963,0.5455,0.739,11,38,16,10,0.6533,0.5238,0.7037,0.4583,0.7205,15,41,13,6,0.7467,0.7143,0.7593,0.6122,0.7504,10,38,16,11,0.64,0.4762,0.7037,0.4255,0.6958
430,10,31,22,11,0.5541,0.4762,0.5849,0.3774,0.6235,12,34,19,9,0.6216,0.5714,0.6415,0.4615,0.6703,13,36,17,8,0.6622,0.619,0.6792,0.5098,0.646,12,35,18,9,0.6351,0.5714,0.6604,0.4706,0.6164,14,40,13,7,0.7297,0.6667,0.7547,0.5833,0.7655,15,31,22,6,0.6216,0.7143,0.5849,0.5172,0.6343,16,44,8,7,0.8,0.6957,0.8462,0.6809,0.7776,16,45,7,7,0.8133,0.6957,0.8654,0.6957,0.7726,16,46,6,7,0.8267,0.6957,0.8846,0.7111,0.8119,15,41,11,8,0.7467,0.6522,0.7885,0.6122,0.8069,16,45,7,7,0.8133,0.6957,0.8654,0.6957,0.7943,13,42,10,10,0.7333,0.5652,0.8077,0.5652,0.7834
431,15,33,12,14,0.6486,0.5172,0.7333,0.5357,0.6973,19,36,9,10,0.7432,0.6552,0.8,0.6667,0.741,20,32,13,9,0.7027,0.6897,0.7111,0.6452,0.7617,20,33,12,9,0.7162,0.6897,0.7333,0.6557,0.7157,25,34,11,4,0.7973,0.8621,0.7556,0.7692,0.8674,20,31,14,9,0.6892,0.6897,0.6889,0.6349,0.7395,11,45,10,9,0.7467,0.55,0.8182,0.5366,0.7373,13,47,8,7,0.8,0.65,0.8545,0.6341,0.7809,13,49,6,7,0.8267,0.65,0.8909,0.6667,0.8173,9,44,11,11,0.7067,0.45,0.8,0.45,0.7645,15,48,7,5,0.84,0.75,0.8727,0.7143,0.8123,8,44,11,12,0.6933,0.4,0.8,0.4103,0.7536
432,19,25,24,6,0.5946,0.76,0.5102,0.5588,0.7216,15,30,19,10,0.6081,0.6,0.6122,0.5085,0.7347,17,30,19,8,0.6351,0.68,0.6122,0.5574,0.7584,17,30,19,8,0.6351,0.68,0.6122,0.5574,0.7094,19,35,14,6,0.7297,0.76,0.7143,0.6552,0.8841,21,26,23,4,0.6351,0.84,0.5306,0.6087,0.6886,17,39,11,8,0.7467,0.68,0.78,0.6415,0.7512,18,43,7,7,0.8133,0.72,0.86,0.72,0.7624,19,45,5,6,0.8533,0.76,0.9,0.7755,0.7968,17,38,12,8,0.7333,0.68,0.76,0.6296,0.7792,20,43,7,5,0.84,0.8,0.86,0.7692,0.8204,16,38,12,9,0.72,0.64,0.76,0.6038,0.7696
433,17,29,16,12,0.6216,0.5862,0.6444,0.5484,0.7096,14,30,15,15,0.5946,0.4828,0.6667,0.4828,0.7042,18,31,14,11,0.6622,0.6207,0.6889,0.5902,0.7264,19,32,13,10,0.6892,0.6552,0.7111,0.623,0.7287,22,36,9,7,0.7838,0.7586,0.8,0.7333,0.8621,20,30,15,9,0.6757,0.6897,0.6667,0.625,0.7318,13,39,9,14,0.6933,0.4815,0.8125,0.5306,0.7191,17,42,6,10,0.7867,0.6296,0.875,0.68,0.7654,16,44,4,11,0.8,0.5926,0.9167,0.6809,0.794,14,40,8,13,0.72,0.5185,0.8333,0.5714,0.7346,20,44,4,7,0.8533,0.7407,0.9167,0.7843,0.8102,12,40,8,15,0.6933,0.4444,0.8333,0.5106,0.7342
434,10,34,18,12,0.5946,0.4545,0.6538,0.4,0.6757,13,34,18,9,0.6351,0.5909,0.6538,0.4906,0.7448,15,32,20,7,0.6351,0.6818,0.6154,0.5263,0.7404,14,32,20,8,0.6216,0.6364,0.6154,0.5,0.7194,20,39,13,2,0.7973,0.9091,0.75,0.7273,0.8619,16,31,21,6,0.6351,0.7273,0.5962,0.5424,0.7133,7,35,20,13,0.56,0.35,0.6364,0.2979,0.6318,8,42,13,12,0.6667,0.4,0.7636,0.3902,0.6455,12,46,9,8,0.7733,0.6,0.8364,0.5854,0.7336,8,41,14,12,0.6533,0.4,0.7455,0.381,0.6927,13,45,10,7,0.7733,0.65,0.8182,0.6047,0.7591,9,36,19,11,0.6,0.45,0.6545,0.375,0.6682
435,11,30,21,12,0.5541,0.4783,0.5882,0.4,0.705,11,36,15,12,0.6351,0.4783,0.7059,0.449,0.7604,14,36,15,9,0.6757,0.6087,0.7059,0.5385,0.7161,14,35,16,9,0.6622,0.6087,0.6863,0.5283,0.7289,18,39,12,5,0.7703,0.7826,0.7647,0.6792,0.8687,16,30,21,7,0.6216,0.6957,0.5882,0.5333,0.7182,10,44,14,7,0.72,0.5882,0.7586,0.4878,0.789,15,46,12,2,0.8133,0.8824,0.7931,0.6818,0.8458,13,51,7,4,0.8533,0.7647,0.8793,0.7027,0.8671,13,47,11,4,0.8,0.7647,0.8103,0.6341,0.855,16,46,12,1,0.8267,0.9412,0.7931,0.7111,0.8676,12,43,15,5,0.7333,0.7059,0.7414,0.5455,0.8301
436,11,38,13,12,0.6622,0.4783,0.7451,0.4681,0.6931,11,38,13,12,0.6622,0.4783,0.7451,0.4681,0.7016,11,37,14,12,0.6486,0.4783,0.7255,0.4583,0.7238,12,39,12,11,0.6892,0.5217,0.7647,0.5106,0.7332,19,39,12,4,0.7838,0.8261,0.7647,0.7037,0.8491,13,38,13,10,0.6892,0.5652,0.7451,0.5306,0.7332,12,47,13,3,0.7867,0.8,0.7833,0.6,0.8778,11,48,12,4,0.7867,0.7333,0.8,0.5789,0.8689,13,51,9,2,0.8533,0.8667,0.85,0.7027,0.9044,10,49,11,5,0.7867,0.6667,0.8167,0.5556,0.8722,11,50,10,4,0.8133,0.7333,0.8333,0.6111,0.8833,12,46,14,3,0.7733,0.8,0.7667,0.5854,0.8578
437,18,34,16,6,0.7027,0.75,0.68,0.6207,0.77,17,36,14,7,0.7162,0.7083,0.72,0.6182,0.7592,18,36,14,6,0.7297,0.75,0.72,0.6429,0.7808,18,36,14,6,0.7297,0.75,0.72,0.6429,0.7725,21,37,13,3,0.7838,0.875,0.74,0.7241,0.8633,18,33,17,6,0.6892,0.75,0.66,0.6102,0.7871,15,40,15,5,0.7333,0.75,0.7273,0.6,0.84,15,44,11,5,0.7867,0.75,0.8,0.6522,0.85,17,46,9,3,0.84,0.85,0.8364,0.7391,0.8855,15,44,11,5,0.7867,0.75,0.8,0.6522,0.8627,17,44,11,3,0.8133,0.85,0.8,0.7083,0.8795,15,42,13,5,0.76,0.75,0.7636,0.625,0.8245
438,19,27,17,11,0.6216,0.6333,0.6136,0.5758,0.7242,18,30,14,12,0.6486,0.6,0.6818,0.5806,0.75,20,30,14,10,0.6757,0.6667,0.6818,0.625,0.7871,22,29,15,8,0.6892,0.7333,0.6591,0.6567,0.7545,26,31,13,4,0.7703,0.8667,0.7045,0.7536,0.8902,21,28,16,9,0.6622,0.7,0.6364,0.6269,0.7409,15,43,8,9,0.7733,0.625,0.8431,0.6383,0.8587,14,45,6,10,0.7867,0.5833,0.8824,0.6364,0.8456,18,48,3,6,0.88,0.75,0.9412,0.8,0.902,14,43,8,10,0.76,0.5833,0.8431,0.6087,0.8685,17,47,4,7,0.8533,0.7083,0.9216,0.7556,0.8766,16,43,8,8,0.7867,0.6667,0.8431,0.6667,0.857
439,23,31,17,3,0.7297,0.8846,0.6458,0.697,0.8381,22,31,17,4,0.7162,0.8462,0.6458,0.6769,0.8245,23,29,19,3,0.7027,0.8846,0.6042,0.6765,0.879,23,31,17,3,0.7297,0.8846,0.6458,0.697,0.8333,24,35,13,2,0.7973,0.9231,0.7292,0.7619,0.9175,25,31,17,1,0.7568,0.9615,0.6458,0.7353,0.8317,11,41,10,13,0.6933,0.4583,0.8039,0.4889,0.7819,14,41,10,10,0.7333,0.5833,0.8039,0.5833,0.7786,16,44,7,8,0.8,0.6667,0.8627,0.6809,0.8276,12,40,11,12,0.6933,0.5,0.7843,0.5106,0.8023,17,43,8,7,0.8,0.7083,0.8431,0.6939,0.8325,13,40,11,11,0.7067,0.5417,0.7843,0.5417,0.7962
440,15,30,20,9,0.6081,0.625,0.6,0.5085,0.6917,13,31,19,11,0.5946,0.5417,0.62,0.4643,0.7217,13,35,15,11,0.6486,0.5417,0.7,0.5,0.7017,13,35,15,11,0.6486,0.5417,0.7,0.5,0.6883,18,36,14,6,0.7297,0.75,0.72,0.6429,0.8108,17,30,20,7,0.6351,0.7083,0.6,0.5574,0.7292,8,47,15,5,0.7333,0.6154,0.7581,0.4444,0.7519,7,51,11,6,0.7733,0.5385,0.8226,0.4516,0.7618,8,51,11,5,0.7867,0.6154,0.8226,0.5,0.8176,7,46,16,6,0.7067,0.5385,0.7419,0.3889,0.7804,7,47,15,6,0.72,0.5385,0.7581,0.4,0.7686,6,45,17,7,0.68,0.4615,0.7258,0.3333,0.732
441,13,31,17,13,0.5946,0.5,0.6458,0.4643,0.641,10,31,17,16,0.5541,0.3846,0.6458,0.3774,0.6258,12,30,18,14,0.5676,0.4615,0.625,0.4286,0.633,11,35,13,15,0.6216,0.4231,0.7292,0.44,0.6338,16,34,14,10,0.6757,0.6154,0.7083,0.5714,0.7949,17,34,14,9,0.6892,0.6538,0.7083,0.5965,0.7007,12,45,8,10,0.76,0.5455,0.8491,0.5714,0.8148,12,47,6,10,0.7867,0.5455,0.8868,0.6,0.8096,15,47,6,7,0.8267,0.6818,0.8868,0.6977,0.8396,10,47,6,12,0.76,0.4545,0.8868,0.5263,0.8285,17,46,7,5,0.84,0.7727,0.8679,0.7391,0.8328,11,45,8,11,0.7467,0.5,0.8491,0.5366,0.8182
442,17,33,13,11,0.6757,0.6071,0.7174,0.5862,0.7787,14,32,14,14,0.6216,0.5,0.6957,0.5,0.7484,17,33,13,11,0.6757,0.6071,0.7174,0.5862,0.7539,17,33,13,11,0.6757,0.6071,0.7174,0.5862,0.7717,22,34,12,6,0.7568,0.7857,0.7391,0.7097,0.854,22,31,15,6,0.7162,0.7857,0.6739,0.6769,0.8082,14,39,15,7,0.7067,0.6667,0.7222,0.56,0.761,16,44,10,5,0.8,0.7619,0.8148,0.6809,0.7848,16,46,8,5,0.8267,0.7619,0.8519,0.7111,0.8183,14,43,11,7,0.76,0.6667,0.7963,0.6087,0.7989,17,44,10,4,0.8133,0.8095,0.8148,0.7083,0.8148,14,41,13,7,0.7333,0.6667,0.7593,0.5833,0.769
443,18,35,14,7,0.7162,0.72,0.7143,0.6316,0.8114,18,37,12,7,0.7432,0.72,0.7551,0.6545,0.8465,20,34,15,5,0.7297,0.8,0.6939,0.6667,0.8424,19,36,13,6,0.7432,0.76,0.7347,0.6667,0.8294,22,39,10,3,0.8243,0.88,0.7959,0.7719,0.9273,22,32,17,3,0.7297,0.88,0.6531,0.6875,0.8192,11,45,12,7,0.7467,0.6111,0.7895,0.5366,0.8002,13,45,12,5,0.7733,0.7222,0.7895,0.6047,0.7836,14,49,8,4,0.84,0.7778,0.8596,0.7,0.845,10,43,14,8,0.7067,0.5556,0.7544,0.4762,0.7943,14,45,12,4,0.7867,0.7778,0.7895,0.6364,0.8138,11,45,12,7,0.7467,0.6111,0.7895,0.5366,0.7865
444,20,23,18,13,0.5811,0.6061,0.561,0.5634,0.6704,19,29,12,14,0.6486,0.5758,0.7073,0.5938,0.7435,20,25,16,13,0.6081,0.6061,0.6098,0.5797,0.7051,21,23,18,12,0.5946,0.6364,0.561,0.5833,0.663,25,32,9,8,0.7703,0.7576,0.7805,0.7463,0.8263,25,22,19,8,0.6351,0.7576,0.5366,0.6494,0.6711,11,44,14,6,0.7333,0.6471,0.7586,0.5238,0.8073,11,51,7,6,0.8267,0.6471,0.8793,0.6286,0.8043,12,52,6,5,0.8533,0.7059,0.8966,0.6857,0.8519,10,48,10,7,0.7733,0.5882,0.8276,0.5405,0.8458,13,49,9,4,0.8267,0.7647,0.8448,0.6667,0.8458,12,46,12,5,0.7733,0.7059,0.7931,0.5854,0.8149
445,9,38,18,9,0.6351,0.5,0.6786,0.4,0.7073,8,43,13,10,0.6892,0.4444,0.7679,0.4103,0.7113,10,38,18,8,0.6486,0.5556,0.6786,0.4348,0.7054,10,44,12,8,0.7297,0.5556,0.7857,0.5,0.7431,13,45,11,5,0.7838,0.7222,0.8036,0.619,0.8482,12,41,15,6,0.7162,0.6667,0.7321,0.5333,0.7609,19,41,10,5,0.8,0.7917,0.8039,0.717,0.875,19,44,7,5,0.84,0.7917,0.8627,0.76,0.8644,19,46,5,5,0.8667,0.7917,0.902,0.7917,0.9101,17,43,8,7,0.8,0.7083,0.8431,0.6939,0.9118,19,46,5,5,0.8667,0.7917,0.902,0.7917,0.902,17,41,10,7,0.7733,0.7083,0.8039,0.6667,0.8807
446,20,29,10,15,0.6622,0.5714,0.7436,0.6154,0.7861,19,29,10,16,0.6486,0.5429,0.7436,0.5938,0.7758,22,32,7,13,0.7297,0.6286,0.8205,0.6875,0.8293,25,32,7,10,0.7703,0.7143,0.8205,0.7463,0.8227,31,33,6,4,0.8649,0.8857,0.8462,0.8611,0.9253,25,29,10,10,0.7297,0.7143,0.7436,0.7143,0.8147,17,43,5,10,0.8,0.6296,0.8958,0.6939,0.8858,19,44,4,8,0.84,0.7037,0.9167,0.76,0.9545,17,45,3,10,0.8267,0.6296,0.9375,0.7234,0.9606,16,43,5,11,0.7867,0.5926,0.8958,0.6667,0.9267,22,44,4,5,0.88,0.8148,0.9167,0.8302,0.9522,17,43,5,10,0.8,0.6296,0.8958,0.6939,0.909
447,18,24,20,12,0.5676,0.6,0.5455,0.5294,0.7144,17,26,18,13,0.5811,0.5667,0.5909,0.5231,0.6705,20,26,18,10,0.6216,0.6667,0.5909,0.5882,0.6917,21,26,18,9,0.6351,0.7,0.5909,0.6087,0.6985,22,29,15,8,0.6892,0.7333,0.6591,0.6567,0.7879,23,24,20,7,0.6351,0.7667,0.5455,0.6301,0.7053,15,43,11,6,0.7733,0.7143,0.7963,0.6383,0.8228,16,47,7,5,0.84,0.7619,0.8704,0.7273,0.8377,17,48,6,4,0.8667,0.8095,0.8889,0.7727,0.8871,15,44,10,6,0.7867,0.7143,0.8148,0.6522,0.8439,17,47,7,4,0.8533,0.8095,0.8704,0.7556,0.8607,13,42,12,8,0.7333,0.619,0.7778,0.5652,0.8117
448,25,27,17,5,0.7027,0.8333,0.6136,0.6944,0.8515,25,30,14,5,0.7432,0.8333,0.6818,0.7246,0.8841,26,28,16,4,0.7297,0.8667,0.6364,0.7222,0.8818,26,28,16,4,0.7297,0.8667,0.6364,0.7222,0.8674,28,32,12,2,0.8108,0.9333,0.7273,0.8,0.9152,27,28,16,3,0.7432,0.9,0.6364,0.7397,0.8451,15,37,14,9,0.6933,0.625,0.7255,0.566,0.8203,18,41,10,6,0.7867,0.75,0.8039,0.6923,0.8407,20,42,9,4,0.8267,0.8333,0.8235,0.7547,0.8693,18,40,11,6,0.7733,0.75,0.7843,0.6792,0.8627,19,39,12,5,0.7733,0.7917,0.7647,0.6909,0.8636,18,37,14,6,0.7333,0.75,0.7255,0.6429,0.8137
449,14,33,14,13,0.6351,0.5185,0.7021,0.5091,0.762,16,36,11,11,0.7027,0.5926,0.766,0.5926,0.7581,16,34,13,11,0.6757,0.5926,0.7234,0.5714,0.7336,18,33,14,9,0.6892,0.6667,0.7021,0.6102,0.74,21,38,9,6,0.7973,0.7778,0.8085,0.7368,0.8574,18,32,15,9,0.6757,0.6667,0.6809,0.6,0.74,15,44,13,3,0.7867,0.8333,0.7719,0.6522,0.8869,15,49,8,3,0.8533,0.8333,0.8596,0.7317,0.8967,16,51,6,2,0.8933,0.8889,0.8947,0.8,0.922,15,42,15,3,0.76,0.8333,0.7368,0.625,0.9055,15,49,8,3,0.8533,0.8333,0.8596,0.7317,0.9191,15,43,14,3,0.7733,0.8333,0.7544,0.6383,0.8772
450,19,26,18,11,0.6081,0.6333,0.5909,0.5672,0.7508,21,30,14,9,0.6892,0.7,0.6818,0.6462,0.7515,23,26,18,7,0.6622,0.7667,0.5909,0.6479,0.7455,23,28,16,7,0.6892,0.7667,0.6364,0.6667,0.75,24,33,11,6,0.7703,0.8,0.75,0.7385,0.8447,25,28,16,5,0.7162,0.8333,0.6364,0.7042,0.7428,22,41,7,5,0.84,0.8148,0.8542,0.7857,0.9074,22,44,4,5,0.88,0.8148,0.9167,0.8302,0.8897,23,45,3,4,0.9067,0.8519,0.9375,0.8679,0.939,20,40,8,7,0.8,0.7407,0.8333,0.7273,0.9167,24,45,3,3,0.92,0.8889,0.9375,0.8889,0.9398,21,40,8,6,0.8133,0.7778,0.8333,0.75,0.8974
451,17,27,19,11,0.5946,0.6071,0.587,0.5312,0.7166,14,32,14,14,0.6216,0.5,0.6957,0.5,0.7547,16,30,16,12,0.6216,0.5714,0.6522,0.5333,0.7321,19,31,15,9,0.6757,0.6786,0.6739,0.6129,0.7228,21,34,12,7,0.7432,0.75,0.7391,0.6885,0.8509,20,28,18,8,0.6486,0.7143,0.6087,0.6061,0.7077,20,33,14,8,0.7067,0.7143,0.7021,0.6452,0.7508,19,40,7,9,0.7867,0.6786,0.8511,0.7037,0.7713,24,40,7,4,0.8533,0.8571,0.8511,0.8136,0.804,19,36,11,9,0.7333,0.6786,0.766,0.6552,0.7705,23,40,7,5,0.84,0.8214,0.8511,0.7931,0.7888,18,34,13,10,0.6933,0.6429,0.7234,0.6102,0.7561
452,14,32,15,13,0.6216,0.5185,0.6809,0.5,0.721,15,35,12,12,0.6757,0.5556,0.7447,0.5556,0.7029,16,33,14,11,0.6622,0.5926,0.7021,0.5614,0.7494,20,33,14,7,0.7162,0.7407,0.7021,0.6557,0.7494,23,35,12,4,0.7838,0.8519,0.7447,0.7419,0.8566,17,30,17,10,0.6351,0.6296,0.6383,0.5574,0.7096,11,47,11,6,0.7733,0.6471,0.8103,0.5641,0.8479,9,53,5,8,0.8267,0.5294,0.9138,0.5806,0.8732,12,55,3,5,0.8933,0.7059,0.9483,0.75,0.9381,9,51,7,8,0.8,0.5294,0.8793,0.5455,0.8864,13,53,5,4,0.88,0.7647,0.9138,0.7429,0.9229,10,49,9,7,0.7867,0.5882,0.8448,0.5556,0.8621
453,21,25,19,9,0.6216,0.7,0.5682,0.6,0.7765,20,28,16,10,0.6486,0.6667,0.6364,0.6061,0.7803,25,29,15,5,0.7297,0.8333,0.6591,0.7143,0.8265,26,30,14,4,0.7568,0.8667,0.6818,0.7429,0.8303,26,36,8,4,0.8378,0.8667,0.8182,0.8125,0.9053,26,28,16,4,0.7297,0.8667,0.6364,0.7222,0.797,19,37,11,8,0.7467,0.7037,0.7708,0.6667,0.8372,21,41,7,6,0.8267,0.7778,0.8542,0.7636,0.8549,21,43,5,6,0.8533,0.7778,0.8958,0.7925,0.8951,18,43,5,9,0.8133,0.6667,0.8958,0.72,0.8812,23,39,9,4,0.8267,0.8519,0.8125,0.7797,0.8789,17,38,10,10,0.7333,0.6296,0.7917,0.6296,0.8333
454,18,30,17,9,0.6486,0.6667,0.6383,0.5806,0.8054,18,35,12,9,0.7162,0.6667,0.7447,0.6316,0.8361,21,33,14,6,0.7297,0.7778,0.7021,0.6774,0.8274,20,30,17,7,0.6757,0.7407,0.6383,0.625,0.8093,23,37,10,4,0.8108,0.8519,0.7872,0.7667,0.9251,24,28,19,3,0.7027,0.8889,0.5957,0.6857,0.7817,14,41,11,9,0.7333,0.6087,0.7885,0.5833,0.7642,14,43,9,9,0.76,0.6087,0.8269,0.6087,0.755,15,45,7,8,0.8,0.6522,0.8654,0.6667,0.8144,12,41,11,11,0.7067,0.5217,0.7885,0.5217,0.76,15,43,9,8,0.7733,0.6522,0.8269,0.6383,0.7592,14,41,11,9,0.7333,0.6087,0.7885,0.5833,0.7429
455,14,35,15,10,0.6622,0.5833,0.7,0.5283,0.8,16,39,11,8,0.7432,0.6667,0.78,0.6275,0.8308,18,34,16,6,0.7027,0.75,0.68,0.6207,0.8233,18,37,13,6,0.7432,0.75,0.74,0.6545,0.8025,21,38,12,3,0.7973,0.875,0.76,0.7368,0.9158,18,35,15,6,0.7162,0.75,0.7,0.6316,0.7992,12,40,14,9,0.6933,0.5714,0.7407,0.5106,0.7646,16,45,9,5,0.8133,0.7619,0.8333,0.6957,0.8095,14,48,6,7,0.8267,0.6667,0.8889,0.6829,0.8395,14,46,8,7,0.8,0.6667,0.8519,0.6512,0.8086,17,46,8,4,0.84,0.8095,0.8519,0.7391,0.8444,14,41,13,7,0.7333,0.6667,0.7593,0.5833,0.7972
456,14,32,20,8,0.6216,0.6364,0.6154,0.5,0.7124,15,34,18,7,0.6622,0.6818,0.6538,0.5455,0.7509,16,31,21,6,0.6351,0.7273,0.5962,0.5424,0.7719,19,33,19,3,0.7027,0.8636,0.6346,0.6333,0.7465,20,36,16,2,0.7568,0.9091,0.6923,0.6897,0.8671,17,33,19,5,0.6757,0.7727,0.6346,0.5862,0.7653,9,43,15,8,0.6933,0.5294,0.7414,0.439,0.783,9,52,6,8,0.8133,0.5294,0.8966,0.5625,0.8306,11,53,5,6,0.8533,0.6471,0.9138,0.6667,0.8611,8,50,8,9,0.7733,0.4706,0.8621,0.4848,0.8205,11,49,9,6,0.8,0.6471,0.8448,0.5946,0.8519,10,42,16,7,0.6933,0.5882,0.7241,0.4651,0.7683
457,21,30,13,10,0.6892,0.6774,0.6977,0.6462,0.7479,19,35,8,12,0.7297,0.6129,0.814,0.6552,0.7914,20,34,9,11,0.7297,0.6452,0.7907,0.6667,0.8087,21,34,9,10,0.7432,0.6774,0.7907,0.6885,0.7937,26,36,7,5,0.8378,0.8387,0.8372,0.8125,0.9152,22,31,12,9,0.7162,0.7097,0.7209,0.6769,0.7959,20,43,3,9,0.84,0.6897,0.9348,0.7692,0.931,21,46,0,8,0.8933,0.7241,1.0,0.84,0.9753,23,46,0,6,0.92,0.7931,1.0,0.8846,0.9865,21,42,4,8,0.84,0.7241,0.913,0.7778,0.931,24,45,1,5,0.92,0.8276,0.9783,0.8889,0.9715,16,40,6,13,0.7467,0.5517,0.8696,0.6275,0.9093
458,13,27,20,14,0.5405,0.4815,0.5745,0.4333,0.6635,15,26,21,12,0.5541,0.5556,0.5532,0.4762,0.6919,15,27,20,12,0.5676,0.5556,0.5745,0.4839,0.6801,14,28,19,13,0.5676,0.5185,0.5957,0.4667,0.6596,19,31,16,8,0.6757,0.7037,0.6596,0.6129,0.803,18,28,19,9,0.6216,0.6667,0.5957,0.5625,0.6875,12,46,7,10,0.7733,0.5455,0.8679,0.5854,0.8894,15,50,3,7,0.8667,0.6818,0.9434,0.75,0.9005,15,50,3,7,0.8667,0.6818,0.9434,0.75,0.9254,14,45,8,8,0.7867,0.6364,0.8491,0.6364,0.9039,17,50,3,5,0.8933,0.7727,0.9434,0.8095,0.9417,14,44,9,8,0.7733,0.6364,0.8302,0.6222,0.8748
459,16,32,11,15,0.6486,0.5161,0.7442,0.5517,0.7382,20,35,8,11,0.7432,0.6452,0.814,0.678,0.7727,22,31,12,9,0.7162,0.7097,0.7209,0.6769,0.7562,21,34,9,10,0.7432,0.6774,0.7907,0.6885,0.7457,24,35,8,7,0.7973,0.7742,0.814,0.7619,0.8432,23,30,13,8,0.7162,0.7419,0.6977,0.6866,0.7554,18,41,12,4,0.7867,0.8182,0.7736,0.6923,0.8894,17,46,7,5,0.84,0.7727,0.8679,0.7391,0.8696,20,46,7,2,0.88,0.9091,0.8679,0.8163,0.9091,17,39,14,5,0.7467,0.7727,0.7358,0.6415,0.8988,18,46,7,4,0.8533,0.8182,0.8679,0.766,0.8932,19,38,15,3,0.76,0.8636,0.717,0.6786,0.8885
