Metric,Dataset,Side,Model_A,Model_B,Mean_Value_A,Mean_Value_B,P-Value,Significant
Sensitivity_Class1,Dataset_2,Left,ResNet,SqueezeNet,0.6909,0.8089,0.0,Yes (p<0.01)
Sensitivity_Class1,Dataset_2,Left,ResNet,SVM,0.6909,0.7718,1.8401962903320355e-171,Yes (p<0.01)
Sensitivity_Class1,Dataset_2,Left,SqueezeNet,SVM,0.8089,0.7718,1.0958845668207045e-37,Yes (p<0.01)
Sensitivity_Class1,Dataset_2,Right,MLP,MobileNet,0.6513,0.6991,4.9218349420773626e-61,Yes (p<0.01)
Sensitivity_Class1,Dataset_2,Right,MLP,ResNet+AE,0.6513,0.7477,2.769470069065083e-249,Yes (p<0.01)
Sensitivity_Class1,Dataset_2,Right,MLP,ResNet,0.6513,0.6468,0.041886960709299655,Yes (p<0.05)
Sensitivity_Class1,Dataset_2,Right,MLP,SqueezeNet,0.6513,0.7968,9.509670443289887e-225,Yes (p<0.01)
Sensitivity_Class1,Dataset_2,Right,MLP,SVM,0.6513,0.6484,0.1874699234795039,No
Sensitivity_Class1,Dataset_2,Right,MobileNet,ResNet+AE,0.6991,0.7477,6.468097812034104e-63,Yes (p<0.01)
Sensitivity_Class1,Dataset_2,Right,MobileNet,ResNet,0.6991,0.6468,4.82594580354826e-161,Yes (p<0.01)
Sensitivity_Class1,Dataset_2,Right,MobileNet,SqueezeNet,0.6991,0.7968,7.783338049044062e-240,Yes (p<0.01)
Sensitivity_Class1,Dataset_2,Right,MobileNet,SVM,0.6991,0.6484,1.6368014356363684e-64,Yes (p<0.01)
Sensitivity_Class1,Dataset_2,Right,ResNet+AE,ResNet,0.7477,0.6468,2.3244653435806882e-257,Yes (p<0.01)
Sensitivity_Class1,Dataset_2,Right,ResNet+AE,SqueezeNet,0.7477,0.7968,4.86197059435872e-60,Yes (p<0.01)
Sensitivity_Class1,Dataset_2,Right,ResNet+AE,SVM,0.7477,0.6484,1.8017182483577155e-254,Yes (p<0.01)
Sensitivity_Class1,Dataset_2,Right,ResNet,SqueezeNet,0.6468,0.7968,0.0,Yes (p<0.01)
Sensitivity_Class1,Dataset_2,Right,ResNet,SVM,0.6468,0.6484,0.4797179892790301,No
Sensitivity_Class1,Dataset_2,Right,SqueezeNet,SVM,0.7968,0.6484,1.419131234991704e-225,Yes (p<0.01)
Specificity_Class0,Dataset_2,Left,MLP,MobileNet,0.611,0.6135,0.33546105501842716,No
Specificity_Class0,Dataset_2,Left,MLP,ResNet+AE,0.611,0.6911,7.297114154226949e-157,Yes (p<0.01)
Specificity_Class0,Dataset_2,Left,MLP,ResNet,0.611,0.6909,1.0193901067068688e-163,Yes (p<0.01)
Specificity_Class0,Dataset_2,Left,MLP,SqueezeNet,0.611,0.8089,0.0,Yes (p<0.01)
Specificity_Class0,Dataset_2,Left,MLP,SVM,0.611,0.7718,0.0,Yes (p<0.01)
Specificity_Class0,Dataset_2,Left,MobileNet,ResNet+AE,0.6135,0.6911,1.7687531495385833e-239,Yes (p<0.01)
Specificity_Class0,Dataset_2,Left,MobileNet,ResNet,0.6135,0.6909,8.229583876658466e-149,Yes (p<0.01)
Specificity_Class0,Dataset_2,Left,MobileNet,SqueezeNet,0.6135,0.8089,0.0,Yes (p<0.01)
Specificity_Class0,Dataset_2,Left,MobileNet,SVM,0.6135,0.7718,0.0,Yes (p<0.01)
Specificity_Class0,Dataset_2,Left,ResNet+AE,ResNet,0.6911,0.6909,0.9028115949437243,No
Specificity_Class0,Dataset_2,Left,ResNet+AE,SqueezeNet,0.6911,0.8089,0.0,Yes (p<0.01)
Specificity_Class0,Dataset_2,Left,ResNet+AE,SVM,0.6911,0.7718,9.472893209833668e-264,Yes (p<0.01)
Specificity_Class0,Dataset_2,Left,ResNet,SqueezeNet,0.6909,0.8089,0.0,Yes (p<0.01)
Specificity_Class0,Dataset_2,Left,ResNet,SVM,0.6909,0.7718,1.8401962903320355e-171,Yes (p<0.01)
Specificity_Class0,Dataset_2,Left,SqueezeNet,SVM,0.8089,0.7718,1.0958845668207045e-37,Yes (p<0.01)
Specificity_Class0,Dataset_2,Right,MLP,MobileNet,0.6513,0.6991,4.9218349420773626e-61,Yes (p<0.01)
Specificity_Class0,Dataset_2,Right,MLP,ResNet+AE,0.6513,0.7477,2.769470069065083e-249,Yes (p<0.01)
Specificity_Class0,Dataset_2,Right,MLP,ResNet,0.6513,0.6468,0.041886960709299655,Yes (p<0.05)
Specificity_Class0,Dataset_2,Right,MLP,SqueezeNet,0.6513,0.7968,9.509670443289887e-225,Yes (p<0.01)
Specificity_Class0,Dataset_2,Right,MLP,SVM,0.6513,0.6484,0.1874699234795039,No
Specificity_Class0,Dataset_2,Right,MobileNet,ResNet+AE,0.6991,0.7477,6.468097812034104e-63,Yes (p<0.01)
Specificity_Class0,Dataset_2,Right,MobileNet,ResNet,0.6991,0.6468,4.82594580354826e-161,Yes (p<0.01)
Specificity_Class0,Dataset_2,Right,MobileNet,SqueezeNet,0.6991,0.7968,7.783338049044062e-240,Yes (p<0.01)
Specificity_Class0,Dataset_2,Right,MobileNet,SVM,0.6991,0.6484,1.6368014356363684e-64,Yes (p<0.01)
Specificity_Class0,Dataset_2,Right,ResNet+AE,ResNet,0.7477,0.6468,2.3244653435806882e-257,Yes (p<0.01)
Specificity_Class0,Dataset_2,Right,ResNet+AE,SqueezeNet,0.7477,0.7968,4.86197059435872e-60,Yes (p<0.01)
Specificity_Class0,Dataset_2,Right,ResNet+AE,SVM,0.7477,0.6484,1.8017182483577155e-254,Yes (p<0.01)
Specificity_Class0,Dataset_2,Right,ResNet,SqueezeNet,0.6468,0.7968,0.0,Yes (p<0.01)
Specificity_Class0,Dataset_2,Right,ResNet,SVM,0.6468,0.6484,0.4797179892790301,No
Specificity_Class0,Dataset_2,Right,SqueezeNet,SVM,0.7968,0.6484,1.419131234991704e-225,Yes (p<0.01)
Specificity_Class1,Dataset_2,Left,MLP,MobileNet,0.6651,0.7048,1.6269032050409466e-151,Yes (p<0.01)
Specificity_Class1,Dataset_2,Left,MLP,ResNet+AE,0.6651,0.6846,5.77593236003842e-39,Yes (p<0.01)
