Dataset,Side,Model,round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
Dataset_1,Right,PointNet,686,10,48,2,15,0.7733,0.4,0.96,0.5405,0.828
Dataset_1,Right,PointNet,687,10,53,3,9,0.84,0.5263,0.9464,0.625,0.8055
Dataset_1,Right,PointNet,688,10,51,2,12,0.8133,0.4545,0.9623,0.5882,0.8233
Dataset_1,Right,PointNet,689,16,49,1,9,0.8667,0.64,0.98,0.7619,0.8864
Dataset_1,Right,PointNet,690,15,55,1,4,0.9333,0.7895,0.9821,0.8571,0.953
Dataset_1,Right,PointNet,691,9,59,2,5,0.9067,0.6429,0.9672,0.72,0.9333
Dataset_1,Right,PointNet,692,8,55,4,8,0.84,0.5,0.9322,0.5714,0.8591
Dataset_1,Right,PointNet,693,14,51,5,5,0.8667,0.7368,0.9107,0.7368,0.8694
Dataset_1,Right,PointNet,694,7,51,4,13,0.7733,0.35,0.9273,0.4516,0.6591
Dataset_1,Right,PointNet,695,15,47,3,10,0.8267,0.6,0.94,0.6977,0.8376
Dataset_1,Right,PointNet,696,10,50,2,13,0.8,0.4348,0.9615,0.5714,0.7023
Dataset_1,Right,PointNet,697,9,59,0,7,0.9067,0.5625,1.0,0.72,0.9089
Dataset_1,Right,PointNet,698,10,48,5,12,0.7733,0.4545,0.9057,0.5405,0.789
Dataset_1,Right,PointNet,699,12,53,2,8,0.8667,0.6,0.9636,0.7059,0.87
Dataset_1,Right,PointNet,700,9,58,1,7,0.8933,0.5625,0.9831,0.6923,0.8697
Dataset_1,Right,PointNet,701,9,57,3,6,0.88,0.6,0.95,0.6667,0.89
Dataset_1,Right,PointNet,702,11,52,1,11,0.84,0.5,0.9811,0.6471,0.8002
Dataset_1,Right,PointNet,703,7,59,2,7,0.88,0.5,0.9672,0.6087,0.7963
Dataset_1,Right,PointNet,704,9,56,3,7,0.8667,0.5625,0.9492,0.6429,0.6917
Dataset_1,Right,PointNet,705,13,48,1,13,0.8133,0.5,0.9796,0.65,0.8768
Dataset_1,Right,PointNet,706,13,45,3,14,0.7733,0.4815,0.9375,0.6047,0.7978
Dataset_1,Right,PointNet,707,15,50,2,8,0.8667,0.6522,0.9615,0.75,0.8963
Dataset_1,Right,PointNet,708,12,54,1,8,0.88,0.6,0.9818,0.7273,0.7636
Dataset_1,Right,PointNet,709,10,54,1,10,0.8533,0.5,0.9818,0.6452,0.8436
Dataset_1,Right,PointNet,710,12,44,4,15,0.7467,0.4444,0.9167,0.5581,0.7515
Dataset_1,Right,PointNet,711,12,54,0,9,0.88,0.5714,1.0,0.7273,0.8792
Dataset_1,Right,PointNet,712,14,53,2,6,0.8933,0.7,0.9636,0.7778,0.8882
Dataset_1,Right,PointNet,713,8,54,2,11,0.8267,0.4211,0.9643,0.5517,0.7679
Dataset_1,Right,PointNet,714,8,54,2,11,0.8267,0.4211,0.9643,0.5517,0.8167
Dataset_1,Right,PointNet,715,12,48,1,14,0.8,0.4615,0.9796,0.6154,0.8454
Dataset_1,Right,PointNet,716,13,50,2,10,0.84,0.5652,0.9615,0.6842,0.7667
Dataset_1,Right,PointNet,717,14,52,1,8,0.88,0.6364,0.9811,0.7568,0.8671
Dataset_1,Right,PointNet,718,8,53,4,10,0.8133,0.4444,0.9298,0.5333,0.9269
Dataset_1,Right,PointNet,719,18,49,1,7,0.8933,0.72,0.98,0.8182,0.9136
Dataset_1,Right,PointNet,720,9,55,1,10,0.8533,0.4737,0.9821,0.6207,0.8553
Dataset_1,Right,PointNet,721,15,48,1,11,0.84,0.5769,0.9796,0.7143,0.8359
Dataset_1,Right,PointNet,722,12,48,5,10,0.8,0.5455,0.9057,0.6154,0.7779
Dataset_1,Right,PointNet,723,19,46,1,9,0.8667,0.6786,0.9787,0.7917,0.8883
Dataset_1,Right,PointNet,724,12,48,4,11,0.8,0.5217,0.9231,0.6154,0.8344
Dataset_1,Right,PointNet,725,15,52,1,7,0.8933,0.6818,0.9811,0.7895,0.8525
Dataset_1,Right,PointNet,726,12,51,2,10,0.84,0.5455,0.9623,0.6667,0.9031
Dataset_1,Right,PointNet,727,13,45,2,15,0.7733,0.4643,0.9574,0.6047,0.7622
Dataset_1,Right,PointNet,728,10,56,1,8,0.88,0.5556,0.9825,0.6897,0.8801
Dataset_1,Right,PointNet,729,12,50,2,11,0.8267,0.5217,0.9615,0.6486,0.8186
Dataset_1,Right,PointNet,730,8,58,1,8,0.88,0.5,0.9831,0.64,0.8581
Dataset_1,Right,PointNet,731,9,54,4,8,0.84,0.5294,0.931,0.6,0.8621
Dataset_1,Right,PointNet,732,10,54,2,9,0.8533,0.5263,0.9643,0.6452,0.8383
Dataset_1,Right,PointNet,733,14,55,1,5,0.92,0.7368,0.9821,0.8235,0.8882
Dataset_1,Right,PointNet,734,14,50,0,11,0.8533,0.56,1.0,0.7179,0.8136
Dataset_1,Right,PointNet,735,12,55,2,6,0.8933,0.6667,0.9649,0.75,0.8684
Dataset_1,Right,PointNet,736,15,51,0,9,0.88,0.625,1.0,0.7692,0.9093
Dataset_1,Right,PointNet,737,16,47,4,8,0.84,0.6667,0.9216,0.7273,0.8864
